,mapName,date,pick_percentage
226,ctf_dusk,2023-01-12,4.761904761904762
227,ctf_guardian,2023-01-12,14.285714285714286
228,ctf_Spark,2023-01-13,6.451612903225806
229,ctf_ash,2023-01-13,3.225806451612903
230,ctf_atlantis,2023-01-13,6.451612903225806
231,ctf_basalt,2023-01-13,6.451612903225806
232,ctf_campsite,2023-01-13,9.67741935483871
233,ctf_cobra,2023-01-13,3.225806451612903
234,ctf_crossfire,2023-01-13,9.67741935483871
235,ctf_division,2023-01-13,3.225806451612903
236,ctf_dogbite,2023-01-13,0.0
237,ctf_dopamine,2023-01-13,0.0
238,ctf_dusk,2023-01-13,0.0
239,ctf_guardian,2023-01-13,3.225806451612903
240,ctf_Spark,2023-01-14,13.043478260869565
241,ctf_ash,2023-01-14,4.3478260869565215
242,ctf_atlantis,2023-01-14,13.043478260869565
243,ctf_basalt,2023-01-14,8.695652173913043
244,ctf_campsite,2023-01-14,4.3478260869565215
245,ctf_cobra,2023-01-14,0.0
246,ctf_crossfire,2023-01-14,0.0
247,ctf_division,2023-01-14,13.043478260869565
248,ctf_dogbite,2023-01-14,4.3478260869565215
249,ctf_dopamine,2023-01-14,0.0
250,ctf_dusk,2023-01-14,0.0
251,ctf_guardian,2023-01-14,8.695652173913043
252,ctf_Spark,2023-01-15,3.508771929824561
253,ctf_ash,2023-01-15,0.0
254,ctf_atlantis,2023-01-15,3.508771929824561
255,ctf_basalt,2023-01-15,1.7543859649122806
256,ctf_campsite,2023-01-15,5.2631578947368425
257,ctf_cobra,2023-01-15,5.2631578947368425
258,ctf_crossfire,2023-01-15,0.0
259,ctf_division,2023-01-15,10.526315789473685
260,ctf_dogbite,2023-01-15,0.0
261,ctf_dopamine,2023-01-15,1.7543859649122806
262,ctf_dusk,2023-01-15,1.7543859649122806
263,ctf_guardian,2023-01-15,10.526315789473685
264,ctf_Spark,2023-01-16,4.444444444444445
265,ctf_ash,2023-01-16,0.0
266,ctf_atlantis,2023-01-16,6.666666666666667
267,ctf_basalt,2023-01-16,4.444444444444445
268,ctf_campsite,2023-01-16,2.2222222222222223
269,ctf_cobra,2023-01-16,6.666666666666667
270,ctf_crossfire,2023-01-16,2.2222222222222223
271,ctf_division,2023-01-16,8.88888888888889
272,ctf_dogbite,2023-01-16,2.2222222222222223
273,ctf_dopamine,2023-01-16,4.444444444444445
274,ctf_dusk,2023-01-16,2.2222222222222223
275,ctf_guardian,2023-01-16,4.444444444444445
276,ctf_Spark,2023-01-17,6.521739130434782
277,ctf_ash,2023-01-17,0.0
278,ctf_atlantis,2023-01-17,2.1739130434782608
279,ctf_basalt,2023-01-17,8.695652173913043
280,ctf_campsite,2023-01-17,0.0
281,ctf_cobra,2023-01-17,8.695652173913043
282,ctf_crossfire,2023-01-17,2.1739130434782608
283,ctf_division,2023-01-17,2.1739130434782608
284,ctf_dogbite,2023-01-17,0.0
285,ctf_dopamine,2023-01-17,4.3478260869565215
286,ctf_dusk,2023-01-17,0.0
287,ctf_guardian,2023-01-17,6.521739130434782
288,ctf_Spark,2023-01-18,6.666666666666667
289,ctf_ash,2023-01-18,0.0
290,ctf_atlantis,2023-01-18,20.0
291,ctf_basalt,2023-01-18,0.0
292,ctf_campsite,2023-01-18,0.0
293,ctf_cobra,2023-01-18,6.666666666666667
294,ctf_crossfire,2023-01-18,0.0
295,ctf_division,2023-01-18,0.0
296,ctf_dogbite,2023-01-18,0.0
297,ctf_dopamine,2023-01-18,6.666666666666667
298,ctf_dusk,2023-01-18,0.0
299,ctf_guardian,2023-01-18,6.666666666666667
300,ctf_Spark,2023-01-19,9.090909090909092
301,ctf_ash,2023-01-19,3.0303030303030303
302,ctf_atlantis,2023-01-19,3.0303030303030303
303,ctf_basalt,2023-01-19,6.0606060606060606
304,ctf_campsite,2023-01-19,0.0
305,ctf_cobra,2023-01-19,6.0606060606060606
306,ctf_crossfire,2023-01-19,6.0606060606060606
307,ctf_division,2023-01-19,3.0303030303030303
308,ctf_dogbite,2023-01-19,0.0
309,ctf_dopamine,2023-01-19,12.121212121212121
310,ctf_dusk,2023-01-19,0.0
311,ctf_guardian,2023-01-19,6.0606060606060606
312,ctf_Spark,2023-01-20,6.25
313,ctf_ash,2023-01-20,4.166666666666667
314,ctf_atlantis,2023-01-20,8.333333333333334
315,ctf_basalt,2023-01-20,2.0833333333333335
316,ctf_campsite,2023-01-20,2.0833333333333335
317,ctf_cobra,2023-01-20,4.166666666666667
318,ctf_crossfire,2023-01-20,6.25
319,ctf_division,2023-01-20,6.25
320,ctf_dogbite,2023-01-20,0.0
321,ctf_dopamine,2023-01-20,2.0833333333333335
322,ctf_dusk,2023-01-20,2.0833333333333335
323,ctf_guardian,2023-01-20,2.0833333333333335
324,ctf_Spark,2023-01-21,0.0
325,ctf_ash,2023-01-21,0.0
326,ctf_atlantis,2023-01-21,2.7027027027027026
327,ctf_basalt,2023-01-21,10.81081081081081
328,ctf_campsite,2023-01-21,0.0
329,ctf_cobra,2023-01-21,5.405405405405405
330,ctf_crossfire,2023-01-21,5.405405405405405
331,ctf_division,2023-01-21,8.108108108108109
332,ctf_dogbite,2023-01-21,2.7027027027027026
333,ctf_dopamine,2023-01-21,0.0
334,ctf_dusk,2023-01-21,2.7027027027027026
335,ctf_guardian,2023-01-21,5.405405405405405
336,ctf_Spark,2023-01-22,9.25925925925926
337,ctf_ash,2023-01-22,0.0
338,ctf_atlantis,2023-01-22,7.407407407407407
339,ctf_basalt,2023-01-22,0.0
340,ctf_campsite,2023-01-22,0.0
341,ctf_cobra,2023-01-22,3.7037037037037037
342,ctf_crossfire,2023-01-22,9.25925925925926
343,ctf_division,2023-01-22,7.407407407407407
344,ctf_dogbite,2023-01-22,5.555555555555555
345,ctf_dopamine,2023-01-22,3.7037037037037037
346,ctf_dusk,2023-01-22,1.8518518518518519
347,ctf_guardian,2023-01-22,5.555555555555555
348,ctf_Spark,2023-01-23,7.317073170731708
349,ctf_ash,2023-01-23,0.0
350,ctf_atlantis,2023-01-23,2.4390243902439024
351,ctf_basalt,2023-01-23,7.317073170731708
352,ctf_campsite,2023-01-23,2.4390243902439024
353,ctf_cobra,2023-01-23,4.878048780487805
354,ctf_crossfire,2023-01-23,7.317073170731708
355,ctf_division,2023-01-23,7.317073170731708
356,ctf_dogbite,2023-01-23,2.4390243902439024
357,ctf_dopamine,2023-01-23,7.317073170731708
358,ctf_dusk,2023-01-23,0.0
359,ctf_guardian,2023-01-23,14.634146341463415
360,ctf_Spark,2023-01-24,5.555555555555555
361,ctf_ash,2023-01-24,0.0
362,ctf_atlantis,2023-01-24,9.25925925925926
363,ctf_basalt,2023-01-24,3.7037037037037037
364,ctf_campsite,2023-01-24,5.555555555555555
365,ctf_cobra,2023-01-24,7.407407407407407
366,ctf_crossfire,2023-01-24,9.25925925925926
367,ctf_division,2023-01-24,5.555555555555555
368,ctf_dogbite,2023-01-24,0.0
369,ctf_dopamine,2023-01-24,5.555555555555555
370,ctf_dusk,2023-01-24,0.0
371,ctf_guardian,2023-01-24,7.407407407407407
372,ctf_Spark,2023-01-25,2.1739130434782608
373,ctf_ash,2023-01-25,2.1739130434782608
