,weaponName,date,kills_percentage,kills_percentage_rolling_average
92,Kalashnikov,2023-03-19,7.517347725520432,5.802523286050289
93,Kalashnikov,2023-03-20,8.863375430539609,6.689778106077301
94,Kalashnikov,2023-03-21,8.304911323328787,7.1162048366529955
95,Kalashnikov,2023-03-22,4.9813972715998345,7.532514459464681
96,Kalashnikov,2023-03-23,11.343161343161343,8.216766357308812
97,Kalashnikov,2023-03-24,4.598490048043926,7.3431620034008604
98,Kalashnikov,2023-03-25,1.852297329805148,6.78014006742844
99,Kalashnikov,2023-03-26,2.3305999136814846,6.0391760943085915
100,Kalashnikov,2023-03-27,5.492510213345438,5.557623920423708
101,Kalashnikov,2023-03-28,0.19940179461615154,4.399693987750475
102,Kalashnikov,2023-03-29,7.515050861532074,4.761644500597939
103,Kalashnikov,2023-03-30,6.53353592359453,4.0745551549455366
104,Kalashnikov,2023-03-31,5.360443622920518,4.1834056656421925
105,Knife,2023-03-11,12.931726907630521,
106,Knife,2023-03-12,12.972808749810117,
107,Knife,2023-03-13,13.452429286777642,
108,Knife,2023-03-14,10.858475440897829,
109,Knife,2023-03-15,12.313499910120438,12.505788059047308
110,Knife,2023-03-16,13.349514563106796,12.646409143057225
111,Knife,2023-03-17,10.76119639183415,12.377093035739643
112,Knife,2023-03-18,9.991603694374476,11.95707543384592
113,Knife,2023-03-19,10.40863531225906,11.5907649427672
114,Knife,2023-03-20,13.134328358208956,11.545321952971673
115,Knife,2023-03-21,11.613233287858117,11.653144502537428
116,Knife,2023-03-22,14.51012815212898,11.966948537110076
117,Knife,2023-03-23,11.67076167076167,11.727126695346486
118,Knife,2023-03-24,14.070006863417982,12.19981390557275
119,Knife,2023-03-25,10.343998075535241,12.250155960024287
120,Knife,2023-03-26,9.90504963314631,12.178215148722463
121,Knife,2023-03-27,14.344076259645938,12.351036277499178
122,Knife,2023-03-28,11.864406779661017,12.38691820489959
123,Knife,2023-03-29,8.760639402117501,11.565562669183667
124,Knife,2023-03-30,7.336661601910137,10.94640551649059
125,Knife,2023-03-31,11.737523105360443,10.613193551053799
126,M79,2023-03-11,9.036144578313253,
127,M79,2023-03-12,2.202643171806167,
128,M79,2023-03-13,9.053999187982136,
129,M79,2023-03-14,4.620317737939076,
130,M79,2023-03-15,5.9859787884235125,6.179816692892829
131,M79,2023-03-16,2.319309600862999,5.53639884422119
132,M79,2023-03-17,3.0384554518119957,5.179549788162734
133,M79,2023-03-18,7.920514973411699,5.0201741303196545
134,M79,2023-03-19,4.805962477512208,5.3920768882776615
135,M79,2023-03-20,3.283582089552239,4.567731588501961
136,M79,2023-03-21,1.961118690313779,4.187846010269776
137,M79,2023-03-22,3.389830508474576,3.8169676845627856
138,M79,2023-03-23,5.466830466830467,4.266613522558138
139,M79,2023-03-24,6.6575154426904595,4.783622092683632
140,M79,2023-03-25,2.573971614144816,4.019830184216935
141,M79,2023-03-26,7.811825636599051,4.449239206943626
142,M79,2023-03-27,4.5392646391284615,4.628622428311658
143,M79,2023-03-28,14.656031904287138,6.442181458879282
144,M79,2023-03-29,3.9236039028440937,6.51843480093207
145,M79,2023-03-30,5.18775775993054,6.478567271374938
146,M79,2023-03-31,3.4195933456561924,6.016006971798613
147,MP5,2023-03-11,13.855421686746988,
148,MP5,2023-03-12,15.859030837004406,
149,MP5,2023-03-13,15.184734064149412,
150,MP5,2023-03-14,18.029441772336394,
151,MP5,2023-03-15,17.65234585655222,16.11619484335788
152,MP5,2023-03-16,18.527508090614887,16.518080384567384
153,MP5,2023-03-17,16.8064567178351,16.55927700360563
154,MP5,2023-03-18,25.384830674503217,18.20633543042795
155,MP5,2023-03-19,28.077615008995117,19.95184745499805
156,MP5,2023-03-20,18.553386911595865,20.43308357606183
157,MP5,2023-03-21,22.561391541609822,21.08050497167232
158,MP5,2023-03-22,17.548573790822655,21.065680390853807
159,MP5,2023-03-23,15.315315315315315,20.606795708668155
160,MP5,2023-03-24,22.512010981468773,21.42187488918725
161,MP5,2023-03-25,31.200384892951647,22.252668348965596
162,MP5,2023-03-26,13.271471730686232,20.137505023492903
163,MP5,2023-03-27,16.886064457557875,19.899316101487475
164,MP5,2023-03-28,9.770687936191425,18.072072729284848
165,MP5,2023-03-29,17.126842433049617,18.01182539246013
166,MP5,2023-03-30,9.246798350336444,17.144894397463144
167,MP5,2023-03-31,36.367837338262476,19.124298162719388
168,Makarov,2023-03-11,0.321285140562249,
169,Makarov,2023-03-12,0.22785963846270696,
170,Makarov,2023-03-13,1.3262958451752604,
171,Makarov,2023-03-14,0.7870572802798426,
172,Makarov,2023-03-15,0.17975912277548087,0.568451405451108
173,Makarov,2023-03-16,0.296655879180151,0.5231521510726151
174,Makarov,2023-03-17,0.7279632853299572,0.5524108845379497
175,Makarov,2023-03-18,0.8676182479708928,0.6304584713106131
176,Makarov,2023-03-19,0.6553585196607556,0.6915297400531915
177,Makarov,2023-03-20,0.2755453501722158,0.5414225264813279
178,Makarov,2023-03-21,0.10231923601637108,0.44360280587226064
179,Makarov,2023-03-22,0.37205456800330716,0.47107358376195013
180,Makarov,2023-03-23,0.2457002457002457,0.4637942075505351
